arquivo,classificacao,score,confianca,altura_media,desvio_altura,densidade,num_componentes
2070421639.tif,advertisement,2,0.14285714285714285,10.086614173228346,35.13629785732776,0.19151989389920424,74
517500234+-0234.tif,advertisement,14,1.0,19.49367088607595,77.39512409838183,0.4781949602122016,121
1000290761.tif,scientific_article,-6,0.42857142857142855,12.19186046511628,4.529405605962079,0.028574002574002572,120
520823795+-3795.tif,scientific_article,-16,1.0,13.179464285714285,30.335077051377503,0.13325464190981431,494
516452062+-2065.tif,advertisement,16,1.0,21.327272727272728,67.18839759474741,0.521657824933687,69
85145710_85145711.tif,scientific_article,-6,0.42857142857142855,22.353846153846153,11.974028436661255,0.05145139813581891,175
71197495.tif,advertisement,2,0.14285714285714285,17.60909090909091,28.178681643638935,0.055089238845144356,41
0030048542.tif,advertisement,14,1.0,33.01851851851852,118.25404084251407,0.4181732283464567,55
502218303.tif,advertisement,6,0.42857142857142855,13.914100486223663,57.812787436065264,0.22198712998713,197
2084511293.tif,scientific_article,-6,0.42857142857142855,10.325333333333333,33.451828423703375,0.2251074270557029,170
514109257+-9258.tif,advertisement,16,1.0,19.925,56.39570573190835,0.23303846153846153,119
517158322+-8327.tif,advertisement,10,0.7142857142857143,16.733870967741936,75.59000284546165,0.35288063660477453,30
0000267067.tif,scientific_article,-16,1.0,15.757253384912959,31.541690053191797,0.15764041994750655,407
1002916961.tif,scientific_article,0,0.0,26.752336448598133,28.428453713178218,0.1256975546975547,134
2072430429.tif,scientific_article,-12,0.8571428571428571,7.551122194513716,21.412537520803827,0.1773183023872679,88
ton01426.85.tif,scientific_article,-4,0.2857142857142857,13.283378746594005,39.989526169960655,0.26690561224489795,218
2070196112.tif,advertisement,14,1.0,26.43961352657005,53.58919582368616,0.20146286472148542,98
502597127.tif,scientific_article,-4,0.2857142857142857,12.284900284900285,41.003040328226255,0.31484311224489797,203
2043173167.tif,scientific_article,-4,0.2857142857142857,17.47644927536232,34.09640248992074,0.4248758256274769,201
0000225081.tif,advertisement,10,0.7142857142857143,28.472972972972972,81.93483286800173,0.1338753280839895,113
0000141554.tif,advertisement,10,0.7142857142857143,31.432835820895523,114.56930691065548,0.03481758530183727,27
tob01704.74_tob01704.75.tif,scientific_article,-14,1.0,10.1125,23.541213491213423,0.05717464424320828,204
2070499726_9727.tif,scientific_article,-6,0.42857142857142855,8.097415506958251,28.2458753877763,0.17185543766578248,119
521151387+-1387.tif,advertisement,16,1.0,64.6829268292683,203.23762843269418,0.6106352785145889,20
98402745_2746.tif,advertisement,16,1.0,19.142045454545453,95.30183655293098,0.5258076923076923,43
2040260424.tif,advertisement,14,1.0,23.511904761904763,93.86724339238991,0.42517806451612905,32
93420870.tif,advertisement,16,1.0,50.285714285714285,112.18156747716021,0.2442811671087533,33
91914487_4490.tif,advertisement,16,1.0,35.26829268292683,131.38809100546624,0.28762967581047383,11
tob13618.71.tif,advertisement,16,1.0,32.74626865671642,68.18780984494377,0.2580089974293059,112
2061014877.tif,advertisement,16,1.0,33.14545454545455,107.22879840141627,0.18612417437252313,27
86112115.tif,advertisement,10,0.7142857142857143,14.278350515463918,50.72906449864877,0.22605570291777188,35
514155703+-5703.tif,advertisement,14,1.0,29.958646616541355,63.08111930844242,0.563527851458886,121
0071087271.tif,scientific_article,-10,0.7142857142857143,13.66,6.792966951192977,0.004304798962386511,21
2041065829.tif,scientific_article,-4,0.2857142857142857,18.503125,33.69133776261155,0.16566880616174584,161
71388082.tif,scientific_article,-12,0.8571428571428571,8.206521739130435,2.812516190529608,0.05603674540682415,50
2080978763.tif,advertisement,10,0.7142857142857143,39.083333333333336,87.45518693720929,0.11568302387267905,12
71895952.tif,advertisement,16,1.0,20.985507246376812,86.41280983166543,0.48421259842519687,22
96313436a.tif,advertisement,14,1.0,17.309278350515463,63.280648142825875,0.2036657824933687,20
03542721.tif,advertisement,8,0.5714285714285714,18.247648902821318,32.864280413151036,0.2112581063553826,181
2061002152.tif,scientific_article,-4,0.2857142857142857,14.710344827586207,48.233615011965185,0.04956010568031704,25
99332307_2308.tif,advertisement,16,1.0,29.716666666666665,80.07435953884085,0.24744297082228117,26
2061003502.tif,advertisement,16,1.0,35.627906976744185,86.2624506027469,0.1876552179656539,27
503950290.tif,scientific_article,-10,0.7142857142857143,13.242835595776771,39.72127444130473,0.2051740787801779,214
509133508+-3508.tif,advertisement,16,1.0,17.46445497630332,82.55540961065223,0.37233819628647213,46
85203335.tif,advertisement,10,0.7142857142857143,17.365853658536587,45.0064617388993,0.040725464190981435,71
2024535512_2024535519.tif,advertisement,16,1.0,28.57777777777778,95.30710335865467,0.3163423423423423,13
